From,To
BYU*,BYU
East Tennessee State,ETSU
Miami (FL),Miami FL
Miami (OH),Miami OH
St. John's,St Johns
Saint Mary's,St Marys CA
NC State,NC State
N Carolina St,NC State
Long Island,LIU Brooklyn
Bethune Cookman,Bethune-Cookman
Stephen F. Austin,SF Austin
Wright State,Wright St
Saint Louis,St Louis
Tennessee State,Tn State
North Dakota State,N Dakota St
Utah State,Utah St
Portland State,Portland St
Ohio State,Ohio St
Iowa State,Iowa St
Michigan State,Michigan St
St Johns,St John's
St. John's,St John's
St Marys CA,St Mary's CA
Saint Mary's,St Mary's CA
Tn State,Tennessee St
Tennessee State,Tennessee St
ETSU,ETSU
Iowa St,Iowa St.
Michigan St,Michigan St.
N Dakota St,N Dakota St.
Ohio St,Ohio St.
Portland St,Portland St.
Tennessee St,Tennessee St.
Utah St,Utah St.
Wright St,Wright St.
LIU Brooklyn,LIU Brooklyn
NC State,NC State
Iowa St,Iowa St.
Michigan St,Michigan St.
Portland St,Portland St.
Utah St,Utah St.
Tennessee St,Tennessee St.
Wright St,Wright St.
Ohio St,Ohio St.
LIU Brooklyn,LIU
ETSU,East Tennessee St.
North Dakota State,North Dakota St.
N Dakota St,North Dakota St.
NC State,N.C. State
N Carolina St,N.C. State
North Dakota State,North Dakota St.
N Dakota St,North Dakota St.